  k=8: scanned 200/5000, invariant-buckets=7, elapsed=171.7s, eta=4121.5s
  k=8: scanned 400/5000, invariant-buckets=7, elapsed=286.6s, eta=3296.4s
  k=8: scanned 600/5000, invariant-buckets=7, elapsed=398.3s, eta=2921.0s
  k=8: scanned 800/5000, invariant-buckets=7, elapsed=507.7s, eta=2665.7s
  k=8: scanned 1000/5000, invariant-buckets=7, elapsed=619.7s, eta=2478.9s
  k=8: scanned 1200/5000, invariant-buckets=7, elapsed=732.3s, eta=2318.8s
  k=8: scanned 1400/5000, invariant-buckets=7, elapsed=841.6s, eta=2164.2s
  k=8: scanned 1600/5000, invariant-buckets=7, elapsed=950.8s, eta=2020.4s
  k=8: scanned 1800/5000, invariant-buckets=7, elapsed=1059.3s, eta=1883.3s
  k=8: scanned 2000/5000, invariant-buckets=7, elapsed=1167.0s, eta=1750.6s
  k=8: scanned 2200/5000, invariant-buckets=7, elapsed=1274.8s, eta=1622.4s
  k=8: scanned 2400/5000, invariant-buckets=7, elapsed=1383.1s, eta=1498.4s
